epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
97,24013.2,1.59686,0.85747,1.07811,3.32628,0.86836,0.73873,0.80797,0.46297,1.6163,0.97494,1.45864,0,0.0003664,0.0003664,0.0003664
98,24233.3,1.60596,0.85643,1.04665,3.27173,0.88764,0.74427,0.82493,0.48829,1.56905,0.93746,1.42897,0,0.0003598,0.0003598,0.0003598
99,24573.3,1.59289,0.85226,1.03322,3.27596,0.8841,0.73941,0.81011,0.47585,1.56841,0.94553,1.41742,0,0.0003532,0.0003532,0.0003532
100,24792.3,1.55903,0.83433,1.04768,3.24165,0.88506,0.76186,0.8237,0.47893,1.56601,0.95447,1.43082,0,0.0003466,0.0003466,0.0003466
101,25049.3,1.59463,0.83846,1.04099,3.2083,0.88295,0.75755,0.82573,0.48674,1.55952,0.95124,1.42392,0,0.00034,0.00034,0.00034
102,25277.3,1.57134,0.8234,1.0459,3.23285,0.88089,0.74242,0.81508,0.46554,1.60051,0.94967,1.45106,0,0.0003334,0.0003334,0.0003334
103,25555.9,1.56369,0.81059,1.03296,3.1508,0.86705,0.75991,0.81866,0.46746,1.58726,0.94564,1.43935,0,0.0003268,0.0003268,0.0003268
104,25802.3,1.51801,0.79484,1.03714,3.1593,0.88309,0.73671,0.80531,0.45397,1.62051,0.95492,1.46202,0,0.0003202,0.0003202,0.0003202
105,26077.1,1.53925,0.8012,1.03764,3.1273,0.87309,0.74797,0.81649,0.45899,1.61794,0.95695,1.46013,0,0.0003136,0.0003136,0.0003136
106,26336.6,1.54677,0.82982,1.04058,3.18118,0.87266,0.74807,0.80776,0.447,1.59908,0.96741,1.42591,0,0.000307,0.000307,0.000307
107,26584.1,1.57393,0.83674,1.05405,3.1318,0.88453,0.75181,0.82027,0.47316,1.58473,0.93966,1.45282,0,0.0003004,0.0003004,0.0003004
108,26823.6,1.52808,0.79746,1.03233,3.08857,0.87352,0.7444,0.81266,0.46495,1.63232,0.99007,1.4796,0,0.0002938,0.0002938,0.0002938
109,27070.4,1.5207,0.79266,1.04182,3.11222,0.85953,0.74555,0.80162,0.45593,1.60825,1.00491,1.45636,0,0.0002872,0.0002872,0.0002872
110,27310.8,1.54241,0.80007,1.04363,3.06063,0.89704,0.74744,0.82062,0.48264,1.54721,0.92938,1.41081,0,0.0002806,0.0002806,0.0002806
111,27534.2,1.55612,0.79847,1.02436,3.11369,0.88188,0.75947,0.82511,0.48525,1.54285,0.95011,1.40779,0,0.000274,0.000274,0.000274
112,27741.6,1.55332,0.78909,1.02576,3.02163,0.89207,0.74304,0.81505,0.46617,1.63611,0.96314,1.48673,0,0.0002674,0.0002674,0.0002674
113,28033.2,1.55193,0.81427,1.03111,2.96521,0.88542,0.75339,0.81867,0.4751,1.59609,0.95233,1.4715,0,0.0002608,0.0002608,0.0002608
114,28243.6,1.58327,0.85585,1.05867,3.03385,0.8753,0.76062,0.82579,0.48735,1.52473,0.94588,1.40381,0,0.0002542,0.0002542,0.0002542
115,28443.6,1.54509,0.81391,1.036,3.05395,0.87573,0.74624,0.80906,0.46629,1.58261,0.9433,1.45207,0,0.0002476,0.0002476,0.0002476
116,28645.4,1.56114,0.80385,1.02491,2.95276,0.88279,0.74638,0.8118,0.46838,1.56773,0.96644,1.42734,0,0.000241,0.000241,0.000241
117,28881.4,1.53007,0.80303,1.03926,3.00574,0.8796,0.76695,0.82651,0.48715,1.53544,0.93139,1.41636,0,0.0002344,0.0002344,0.0002344
118,29090.5,1.51155,0.77549,1.01704,2.91825,0.88381,0.75641,0.82539,0.48004,1.56381,0.9408,1.43108,0,0.0002278,0.0002278,0.0002278
119,29320.1,1.57327,0.79798,1.00852,2.87013,0.87724,0.77256,0.83253,0.48769,1.53867,0.93984,1.4099,0,0.0002212,0.0002212,0.0002212
120,29600.9,1.47485,0.77856,1.04006,2.92143,0.87925,0.76159,0.81797,0.46981,1.56648,0.93985,1.43147,0,0.0002146,0.0002146,0.0002146
121,29894,1.57411,0.78555,1.00384,2.82213,0.87452,0.76062,0.82112,0.47511,1.57934,0.99027,1.44629,0,0.000208,0.000208,0.000208
