epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
134,32987.6,1.42683,0.69882,0.0045,1.28747,0.89773,0.77781,0.84044,0.49535,1.57513,0.91089,0.01513,0,0.0001222,0.0001222,0.0001222
135,33232.4,1.40619,0.66903,0.00415,1.28541,0.88944,0.76708,0.83041,0.48686,1.56337,0.93328,0.01478,0,0.0001156,0.0001156,0.0001156
136,33456.3,1.41878,0.68694,0.0043,1.27733,0.88807,0.76449,0.82941,0.48452,1.56196,0.93537,0.01451,0,0.000109,0.000109,0.000109
137,33722.9,1.41302,0.68246,0.0044,1.27849,0.89096,0.76852,0.83158,0.49568,1.54136,0.92851,0.01471,0,0.0001024,0.0001024,0.0001024
138,33939.1,1.43029,0.67787,0.00404,1.25558,0.88195,0.76153,0.82578,0.48575,1.57029,0.91931,0.01489,0,9.58e-05,9.58e-05,9.58e-05
139,34194.4,1.42785,0.675,0.00404,1.26338,0.89368,0.76843,0.83658,0.49322,1.56799,0.91485,0.01495,0,8.92e-05,8.92e-05,8.92e-05
140,34475.3,1.41268,0.67575,0.00416,1.26751,0.88834,0.75923,0.83078,0.48647,1.55683,0.92184,0.01468,0,8.26e-05,8.26e-05,8.26e-05
141,34685,1.3385,0.60524,0.00533,1.2146,0.89043,0.77948,0.84203,0.50265,1.51998,0.91478,0.01434,0,7.6e-05,7.6e-05,7.6e-05
142,34842.4,1.31951,0.59186,0.00475,1.18782,0.89098,0.76462,0.83528,0.49726,1.52449,0.91242,0.01423,0,6.94e-05,6.94e-05,6.94e-05
143,35044,1.34189,0.59456,0.00466,1.18696,0.90334,0.77299,0.84415,0.50464,1.51983,0.89395,0.01436,0,6.28e-05,6.28e-05,6.28e-05
144,35230.1,1.31683,0.59698,0.00444,1.15748,0.89228,0.772,0.83675,0.4977,1.52909,0.90601,0.01436,0,5.62e-05,5.62e-05,5.62e-05
145,35408.2,1.31491,0.61529,0.00508,1.17383,0.89741,0.77282,0.83954,0.50101,1.52743,0.90839,0.01441,0,4.96e-05,4.96e-05,4.96e-05
146,35598.4,1.3062,0.5813,0.0044,1.15289,0.89556,0.77481,0.83873,0.50118,1.52488,0.90804,0.01436,0,4.3e-05,4.3e-05,4.3e-05
147,35785.9,1.32623,0.57744,0.00482,1.1541,0.89353,0.7716,0.83782,0.49993,1.5229,0.90846,0.01425,0,3.64e-05,3.64e-05,3.64e-05
148,35964.2,1.33274,0.5963,0.00455,1.15408,0.89062,0.77898,0.83956,0.50261,1.52543,0.90823,0.01438,0,2.98e-05,2.98e-05,2.98e-05
149,36143.3,1.29712,0.57496,0.00459,1.13349,0.88829,0.7788,0.83936,0.50127,1.53531,0.90931,0.01456,0,2.32e-05,2.32e-05,2.32e-05
150,36311.7,1.31227,0.58281,0.00512,1.17111,0.88543,0.77615,0.8382,0.49929,1.5347,0.91204,0.01444,0,1.66e-05,1.66e-05,1.66e-05
