epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
83,8675.5,1.22291,0.6879,1.08958,2.25811,0.89833,0.7483,0.81486,0.46301,1.4907,0.8663,1.51136,0,0.0004588,0.0004588,0.0004588
84,8758.57,1.22474,0.68328,1.09082,2.31878,0.90311,0.76445,0.82534,0.50283,1.32486,0.81643,1.3787,0,0.0004522,0.0004522,0.0004522
85,8889.53,1.21683,0.66642,1.08344,2.19592,0.90862,0.7563,0.81769,0.47026,1.42721,0.82937,1.44615,0,0.0004456,0.0004456,0.0004456
86,8988.73,1.21008,0.66907,1.07039,2.16304,0.89942,0.76614,0.82665,0.49955,1.36531,0.83308,1.41477,0,0.000439,0.000439,0.000439
87,9099.54,1.24434,0.68175,1.09304,2.19241,0.89861,0.7553,0.81854,0.49376,1.34716,0.82323,1.40216,0,0.0004324,0.0004324,0.0004324
88,9203.86,1.22723,0.69098,1.0832,2.1876,0.90172,0.74771,0.81926,0.48125,1.39024,0.82618,1.44451,0,0.0004258,0.0004258,0.0004258
89,9287.91,1.18357,0.6487,1.06533,2.14357,0.88782,0.74708,0.80003,0.46929,1.42226,0.83719,1.45499,0,0.0004192,0.0004192,0.0004192
90,9382.43,1.23566,0.69892,1.0778,2.18112,0.90144,0.76267,0.82029,0.49935,1.36173,0.79877,1.42011,0,0.0004126,0.0004126,0.0004126
91,9575.51,1.20827,0.65951,1.071,2.17499,0.8879,0.76232,0.82142,0.49148,1.36026,0.82771,1.40664,0,0.000406,0.000406,0.000406
92,9625.58,1.20359,0.66869,1.07121,2.16939,0.88929,0.76106,0.81512,0.48367,1.41044,0.86307,1.4628,0,0.0003994,0.0003994,0.0003994
93,9664.92,1.18823,0.64805,1.06121,2.13022,0.9064,0.75565,0.82709,0.48957,1.40394,0.84415,1.44912,0,0.0003928,0.0003928,0.0003928
94,9763.85,1.19514,0.66709,1.07877,2.14974,0.86964,0.72681,0.77826,0.43718,1.48598,0.85702,1.49644,0,0.0003862,0.0003862,0.0003862
95,9873.91,1.22176,0.66856,1.08876,2.15484,0.89726,0.76077,0.81816,0.48812,1.34277,0.82785,1.40408,0,0.0003796,0.0003796,0.0003796
96,9979.2,1.20565,0.6544,1.07604,2.17088,0.88946,0.76043,0.81776,0.47622,1.44639,0.84908,1.48253,0,0.000373,0.000373,0.000373
97,10052.6,1.20187,0.65755,1.08649,2.07856,0.89763,0.75598,0.82288,0.48569,1.45037,0.84224,1.50343,0,0.0003664,0.0003664,0.0003664
98,10129.5,1.19101,0.64665,1.05925,2.06859,0.89758,0.76094,0.82928,0.5108,1.31715,0.79669,1.38648,0,0.0003598,0.0003598,0.0003598
99,10200,1.19288,0.64621,1.0541,2.04845,0.89763,0.74592,0.80614,0.4768,1.35393,0.83807,1.40002,0,0.0003532,0.0003532,0.0003532
100,10256.9,1.18584,0.64995,1.05825,2.09463,0.90447,0.75573,0.82075,0.4947,1.41494,0.82342,1.4576,0,0.0003466,0.0003466,0.0003466
101,10325,1.20008,0.6485,1.06996,2.05836,0.90528,0.75559,0.82219,0.48378,1.39682,0.8364,1.42891,0,0.00034,0.00034,0.00034
